No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
3.08, 3.75484, -2.76157,-0.382256,7.49257, 0.826648,-0.738851
3.09, 3.72722, -2.76539,-0.340832,7.50083, 0.819259,-0.75125
3.1, 3.69957, -2.7688,-0.299351,7.50903, 0.811747,-0.76354
3.11, 3.67188, -2.7718,-0.257819,7.51714, 0.804111,-0.775716
3.12, 3.64416, -2.77437,-0.216242,7.52518, 0.796354,-0.787778
3.13, 3.61642, -2.77654,-0.174626,7.53315, 0.788476,-0.799722
3.14, 3.58865, -2.77828,-0.132978,7.54103, 0.780479,-0.81155
3.15, 3.56087, -2.77961,-0.0913042,7.54884, 0.772364,-0.823257
3.16, 3.53307, -2.78053,-0.0496098,7.55656, 0.764131,-0.834842
3.17, 3.50527, -2.78102,-0.00790215,7.5642, 0.755783,-0.846304
3.18, 3.47746, -2.7811,0.0338134,7.57176, 0.74732,-0.857641
3.19, 3.44965, -2.78076,0.0755299,7.57923, 0.738743,-0.868851
3.2, 3.42184, -2.78001,0.117241,7.58662, 0.730055,-0.879932
3.21, 3.39404, -2.77884,0.158941,7.59392, 0.721255,-0.890883
3.22, 3.36625, -2.77725,0.200624,7.60113, 0.712346,-0.901701
3.23, 3.33848, -2.77524,0.242283,7.60826, 0.703329,-0.912387
3.24, 3.31073, -2.77282,0.283911,7.61529, 0.694206,-0.922937
3.25, 3.283, -2.76998,0.325504,7.62223, 0.684976,-0.93335
3.26, 3.2553, -2.76672,0.367053,7.62908, 0.675643,-0.943625
3.27, 3.22763, -2.76305,0.408554,7.63584, 0.666206,-0.953759
3.28, 3.2, -2.75897,0.45,7.6425, 0.656669,-0.963752
3.29, 3.17241, -2.75447,0.491384,7.64907, 0.647031,-0.973603
3.3, 3.14487, -2.74955,0.532701,7.65554, 0.637295,-0.983308
3.31, 3.11737, -2.74423,0.573944,7.66191, 0.627462,-0.992867
3.32, 3.08993, -2.73849,0.615108,7.66819, 0.617534,-1.00228
3.33, 3.06254, -2.73234,0.656185,7.67436, 0.607511,-1.01154
3.34, 3.03522, -2.72577,0.69717,7.68044, 0.597395,-1.02065
3.35, 3.00796, -2.7188,0.738057,7.68641, 0.587189,-1.02962
3.36, 2.98077, -2.71142,0.778839,7.69228, 0.576893,-1.03842
3.37, 2.95366, -2.70363,0.81951,7.69805, 0.566508,-1.04708
3.38, 2.92662, -2.69544,0.860065,7.70372, 0.556038,-1.05557
3.39, 2.89967, -2.68684,0.900496,7.70928, 0.545482,-1.06392
3.4, 2.8728, -2.67783,0.940799,7.71473, 0.534843,-1.0721
3.41, 2.84602, -2.66842,0.980966,7.72008, 0.524122,-1.08012
3.42, 2.81934, -2.65861,1.02099,7.72532, 0.513321,-1.08798
3.43, 2.79275, -2.6484,1.06087,7.73045, 0.502441,-1.09568
3.44, 2.76627, -2.6378,1.1006,7.73548, 0.491484,-1.10322
3.45, 2.73989, -2.62679,1.14016,7.74039, 0.480452,-1.11059
3.46, 2.71362, -2.61539,1.17957,7.7452, 0.469346,-1.1178
3.47, 2.68747, -2.60359,1.2188,7.74989, 0.458168,-1.12484
3.48, 2.66143, -2.5914,1.25785,7.75447, 0.44692,-1.13171
3.49, 2.63552, -2.57883,1.29672,7.75894, 0.435602,-1.13841
3.5, 2.60973, -2.56586,1.3354,7.7633, 0.424218,-1.14495
